Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.10.3-192.168.10.9-88-1031-6,192.168.10.9,1031,192.168.10.3,88,6,7/7/2017 9:00,617,7,4,484,414,233,0,69.14285714,111.9678951,207,0,103.5,119.5115057,1455429.498,17828.20097,61.7,132.0362324,430,1,617,102.8333333,203.6795686,516,1,459,153,258.0755703,451,4,0,0,0,0,164,104,11345.2188,6482.982172,0,233,74.83333333,107.5274454,11562.15152,0,0,0,1,0,0,0,0,0,81.63636364,69.14285714,103.5,0,0,0,0,0,0,7,484,4,414,8192,2053,5,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.9-88-1031-6,192.168.10.3,88,192.168.10.9,1031,6,7/7/2017 9:00,8,1,1,6,6,6,6,6,0,6,6,6,0,1500000,250000,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,125000,125000,6,6,6,0,0,0,0,0,0,1,0,0,0,1,9,6,6,0,0,0,0,0,0,1,6,1,6,2053,255,0,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.9-88-1033-6,192.168.10.9,1033,192.168.10.3,88,6,7/7/2017 9:00,1056,9,6,3134,3048,1552,0,348.2222222,682.4825598,1518,0,508,782.3472375,5854166.667,14204.54545,75.42857143,216.0771637,824,1,1056,132,306.0966234,887,1,992,198.4,352.3865775,824,4,0,0,0,0,204,144,8522.727273,5681.818182,0,1552,386.375,684.9689896,469182.5167,0,0,0,1,0,0,0,0,0,412.1333333,348.2222222,508,0,0,0,0,0,0,9,3134,6,3048,8192,2053,7,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.9-205.174.165.73-1847-8080-6,205.174.165.73,8080,192.168.10.9,1847,6,7/7/2017 10:04,29,1,1,6,6,6,6,6,0,6,6,6,0,413793.1034,68965.51724,29,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,34482.75862,34482.75862,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,0,0,0,0,0,0,1,6,1,6,258,256,0,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1848-8080-6,192.168.10.9,1848,205.174.165.73,8080,6,7/7/2017 10:04,80105,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,4244.429187,87.38530678,13350.83333,31571.77286,77792,41,80105,26701.66667,45582.23957,79334,41,78429,39214.5,54556.8237,77792,637,0,0,0,0,92,72,49.93446102,37.45084576,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,0,48.57142857,51.5,44.66666667,0,0,0,0,0,0,4,206,3,134,8192,237,3,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1848-8080-6,205.174.165.73,8080,192.168.10.9,1848,6,7/7/2017 10:04,22,1,1,6,6,6,6,6,0,6,6,6,0,545454.5455,90909.09091,22,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,45454.54545,45454.54545,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1851-8080-6,192.168.10.9,1851,205.174.165.73,8080,6,7/7/2017 10:04,82050,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,4143.814747,85.31383303,13675,32528.21995,80070,19,82050,27350,46779.48077,81365,19,80648,40324,56209.33225,80070,578,0,0,0,0,92,72,48.75076173,36.5630713,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,0,48.57142857,51.5,44.66666667,0,0,0,0,0,0,4,206,3,134,8192,237,3,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1851-8080-6,205.174.165.73,8080,192.168.10.9,1851,6,7/7/2017 10:04,23,1,1,6,6,6,6,6,0,6,6,6,0,521739.1304,86956.52174,23,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,43478.26087,43478.26087,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1852-8080-6,192.168.10.9,1852,205.174.165.73,8080,6,7/7/2017 10:05,90356,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,3762.893444,77.47133561,15059.33333,35660.57504,87847,59,90356,30118.66667,51327.06041,89384,59,88509,44254.5,61649.10472,87847,662,0,0,0,0,92,72,44.26933463,33.20200097,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,0,48.57142857,51.5,44.66666667,0,0,0,0,0,0,4,206,3,134,8192,237,3,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1852-8080-6,205.174.165.73,8080,192.168.10.9,1852,6,7/7/2017 10:05,38,1,1,6,6,6,6,6,0,6,6,6,0,315789.4737,52631.57895,38,0,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,26315.78947,26315.78947,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1853-8080-6,192.168.10.9,1853,205.174.165.73,8080,6,7/7/2017 10:05,77514,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,4386.30441,90.30626725,12919,30510.8509,75195,40,77514,25838,44009.67498,76654,40,75852,37926,52706.32526,75195,657,0,0,0,0,92,72,51.60358129,38.70268597,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,0,48.57142857,51.5,44.66666667,0,0,0,0,0,0,4,206,3,134,8192,237,3,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1853-8080-6,205.174.165.73,8080,192.168.10.9,1853,6,7/7/2017 10:05,83,1,1,6,6,6,6,6,0,6,6,6,0,144578.3133,24096.38554,83,0,83,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,12048.19277,12048.19277,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1854-8080-6,192.168.10.9,1854,205.174.165.73,8080,6,7/7/2017 10:05,75628,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,4495.689427,92.55831174,12604.66667,29762.92166,73354,43,75628,25209.33333,42894.10601,74737,43,73970,36985,51433.53305,73354,616,0,0,0,0,92,72,52.89046385,39.66784789,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,0,48.57142857,51.5,44.66666667,0,0,0,0,0,0,4,206,3,134,8192,237,3,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1854-8080-6,205.174.165.73,8080,192.168.10.9,1854,6,7/7/2017 10:05,95,1,1,6,6,6,6,6,0,6,6,6,0,126315.7895,21052.63158,95,0,95,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,10526.31579,10526.31579,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1857-8080-6,192.168.10.9,1857,205.174.165.73,8080,6,7/7/2017 10:05,82746,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,4108.95995,84.59623426,13791,32736.7976,80611,57,82746,27582,47215.58547,82101,57,81255,40627.5,56545.20797,80611,644,0,0,0,0,92,72,48.34070529,36.25552897,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,0,48.57142857,51.5,44.66666667,0,0,0,0,0,0,4,206,3,134,8192,237,3,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1857-8080-6,205.174.165.73,8080,192.168.10.9,1857,6,7/7/2017 10:05,94,1,1,6,6,6,6,6,0,6,6,6,0,127659.5745,21276.59574,94,0,94,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,10638.29787,10638.29787,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1858-8080-6,192.168.10.9,1858,205.174.165.73,8080,6,7/7/2017 10:05,80984,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,4198.36017,86.43682703,13497.33333,32102.2667,79023,49,80984,26994.66667,46232.02055,80378,49,79665,39832.5,55423.73662,79023,642,0,0,0,0,92,72,49.39247259,37.04435444,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,0,48.57142857,51.5,44.66666667,0,0,0,0,0,0,4,206,3,134,8192,237,3,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1858-8080-6,205.174.165.73,8080,192.168.10.9,1858,6,7/7/2017 10:05,90,1,1,6,6,6,6,6,0,6,6,6,0,133333.3333,22222.22222,90,0,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,11111.11111,11111.11111,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1859-8080-6,192.168.10.9,1859,205.174.165.73,8080,6,7/7/2017 10:05,79325,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,4286.164513,88.2445635,13220.83333,31279.07095,77065,40,79325,26441.66667,45142.27347,78566,40,77724,38862,54027.20072,77065,659,0,0,0,0,92,72,50.42546486,37.81909864,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,0,48.57142857,51.5,44.66666667,0,0,0,0,0,0,4,206,3,134,8192,237,3,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1859-8080-6,205.174.165.73,8080,192.168.10.9,1859,6,7/7/2017 10:05,36,1,1,6,6,6,6,6,0,6,6,6,0,333333.3333,55555.55556,36,0,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,27777.77778,27777.77778,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1860-8080-6,192.168.10.9,1860,205.174.165.73,8080,6,7/7/2017 10:06,73364,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,4634.425604,95.41464478,12227.33333,28822.97472,71058,96,73364,24454.66667,41687.43716,72590,96,71797,35898.5,49723.04175,71058,739,0,0,0,0,92,72,54.52265416,40.89199062,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,0,48.57142857,51.5,44.66666667,0,0,0,0,0,0,4,206,3,134,8192,237,3,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1860-8080-6,205.174.165.73,8080,192.168.10.9,1860,6,7/7/2017 10:06,50,1,1,6,6,6,6,6,0,6,6,6,0,240000,40000,50,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20000,20000,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1861-8080-6,192.168.10.9,1861,205.174.165.73,8080,6,7/7/2017 10:06,93102,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,3651.908659,75.18635475,15517,36822.76251,90678,75,93102,31034,52856.25708,92065,75,91394,45697,63612.74025,90678,716,0,0,0,0,92,72,42.96363129,32.22272346,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,0,48.57142857,51.5,44.66666667,0,0,0,0,0,0,4,206,3,134,8192,237,3,20,0,0,0,0,0,0,0,0,Bot
