Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.10.12-52.6.13.28-42544-8080-6,192.168.10.12,42544,52.6.13.28,8080,6,7/7/2017 9:34,60202640,9,9,322,256,322,0,35.77777778,107.3333333,256,0,28.44444444,85.33333333,9.600907867,0.29899021,3541331.765,4901981.331,1.02E+07,47,5.12E+07,6396441.875,5268489.909,1.02E+07,234,6.02E+07,7518953.625,4645137.318,1.03E+07,637,0,0,0,0,296,296,0.149495105,0.149495105,0,322,30.42105263,91.78375297,8424.25731,0,0,0,1,0,0,0,0,1,32.11111111,35.77777778,28.44444444,0,0,0,0,0,0,9,322,9,256,29200,110,1,32,63678.2,22252.53596,103175,50911,1.02E+07,34941.27201,1.02E+07,1.01E+07,Bot
192.168.10.12-52.6.13.28-42544-8080-6,192.168.10.12,42544,52.6.13.28,8080,6,7/7/2017 9:35,57891,1,1,0,0,0,0,0,0,0,0,0,0,0,34.54768444,57891,0,57891,57891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,17.27384222,17.27384222,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,237,110,0,32,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1841-8080-6,192.168.10.9,1841,205.174.165.73,8080,6,7/7/2017 10:04,134812,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,2522.03068,51.92416105,22468.66667,53230.91125,131123,123,134812,44937.33333,76126.81717,132841,949,132783,66391.5,91544.16521,131123,1660,0,0,0,0,92,72,29.67094917,22.25321188,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,0,48.57142857,51.5,44.66666667,0,0,0,0,0,0,4,206,3,134,8192,237,3,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1841-8080-6,205.174.165.73,8080,192.168.10.9,1841,6,7/7/2017 10:04,84,1,1,6,6,6,6,6,0,6,6,6,0,142857.1429,23809.52381,84,0,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,11904.7619,11904.7619,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1845-8080-6,192.168.10.9,1845,205.174.165.73,8080,6,7/7/2017 10:04,127781,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,2660.802467,54.78122726,21296.83333,50455.70005,124286,75,127781,42593.66667,72173.33699,125932,745,125987,62993.5,86680.68477,124286,1701,0,0,0,0,92,72,31.30355843,23.47766882,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,0,48.57142857,51.5,44.66666667,0,0,0,0,0,0,4,206,3,134,8192,237,3,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1845-8080-6,205.174.165.73,8080,192.168.10.9,1845,6,7/7/2017 10:04,33,1,1,6,6,6,6,6,0,6,6,6,0,363636.3636,60606.06061,33,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,30303.0303,30303.0303,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1846-8080-6,192.168.10.9,1846,205.174.165.73,8080,6,7/7/2017 10:04,165810,5,4,212,140,194,0,42.4,84.78679142,128,0,35,62.0644826,2122.911766,54.27899403,20726.25,57769.37468,163697,43,165810,41452.5,82023.50566,164487,43,164470,54823.33333,94287.53776,163697,204,0,0,0,0,112,92,30.15499668,24.12399735,0,194,35.2,68.15798641,4645.511111,0,0,0,1,0,0,0,0,0,39.11111111,42.4,35,0,0,0,0,0,0,5,212,4,140,8192,237,4,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1847-8080-6,192.168.10.9,1847,205.174.165.73,8080,6,7/7/2017 10:04,65033,4,3,1870,134,1858,0,467.5,927.004315,128,0,44.66666667,72.23111056,30815.12463,107.6376609,10838.83333,25181.30773,62233,55,65033,21677.66667,36790.82389,64158,76,63250,31625,43286.24872,62233,1017,0,0,0,0,92,72,61.50723479,46.13042609,0,1858,250.5,651.0051569,423807.7143,0,0,0,1,0,0,0,0,0,286.2857143,467.5,44.66666667,0,0,0,0,0,0,4,1870,3,134,8192,258,3,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1846-8080-6,205.174.165.73,8080,192.168.10.9,1846,6,7/7/2017 10:04,42,1,1,6,6,6,6,6,0,6,6,6,0,285714.2857,47619.04762,42,0,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,23809.52381,23809.52381,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1847-8080-6,205.174.165.73,8080,192.168.10.9,1847,6,7/7/2017 10:04,29,1,1,6,6,6,6,6,0,6,6,6,0,413793.1034,68965.51724,29,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,34482.75862,34482.75862,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,0,0,0,0,0,0,1,6,1,6,258,256,0,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1848-8080-6,192.168.10.9,1848,205.174.165.73,8080,6,7/7/2017 10:04,80105,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,4244.429187,87.38530678,13350.83333,31571.77286,77792,41,80105,26701.66667,45582.23957,79334,41,78429,39214.5,54556.8237,77792,637,0,0,0,0,92,72,49.93446102,37.45084576,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,0,48.57142857,51.5,44.66666667,0,0,0,0,0,0,4,206,3,134,8192,237,3,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1848-8080-6,205.174.165.73,8080,192.168.10.9,1848,6,7/7/2017 10:04,22,1,1,6,6,6,6,6,0,6,6,6,0,545454.5455,90909.09091,22,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,45454.54545,45454.54545,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1851-8080-6,192.168.10.9,1851,205.174.165.73,8080,6,7/7/2017 10:04,82050,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,4143.814747,85.31383303,13675,32528.21995,80070,19,82050,27350,46779.48077,81365,19,80648,40324,56209.33225,80070,578,0,0,0,0,92,72,48.75076173,36.5630713,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,0,48.57142857,51.5,44.66666667,0,0,0,0,0,0,4,206,3,134,8192,237,3,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1851-8080-6,205.174.165.73,8080,192.168.10.9,1851,6,7/7/2017 10:04,23,1,1,6,6,6,6,6,0,6,6,6,0,521739.1304,86956.52174,23,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,43478.26087,43478.26087,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1852-8080-6,192.168.10.9,1852,205.174.165.73,8080,6,7/7/2017 10:05,90356,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,3762.893444,77.47133561,15059.33333,35660.57504,87847,59,90356,30118.66667,51327.06041,89384,59,88509,44254.5,61649.10472,87847,662,0,0,0,0,92,72,44.26933463,33.20200097,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,0,48.57142857,51.5,44.66666667,0,0,0,0,0,0,4,206,3,134,8192,237,3,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1852-8080-6,205.174.165.73,8080,192.168.10.9,1852,6,7/7/2017 10:05,38,1,1,6,6,6,6,6,0,6,6,6,0,315789.4737,52631.57895,38,0,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,26315.78947,26315.78947,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1853-8080-6,192.168.10.9,1853,205.174.165.73,8080,6,7/7/2017 10:05,77514,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,4386.30441,90.30626725,12919,30510.8509,75195,40,77514,25838,44009.67498,76654,40,75852,37926,52706.32526,75195,657,0,0,0,0,92,72,51.60358129,38.70268597,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,0,48.57142857,51.5,44.66666667,0,0,0,0,0,0,4,206,3,134,8192,237,3,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1853-8080-6,205.174.165.73,8080,192.168.10.9,1853,6,7/7/2017 10:05,83,1,1,6,6,6,6,6,0,6,6,6,0,144578.3133,24096.38554,83,0,83,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,12048.19277,12048.19277,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1854-8080-6,192.168.10.9,1854,205.174.165.73,8080,6,7/7/2017 10:05,75628,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,4495.689427,92.55831174,12604.66667,29762.92166,73354,43,75628,25209.33333,42894.10601,74737,43,73970,36985,51433.53305,73354,616,0,0,0,0,92,72,52.89046385,39.66784789,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,0,48.57142857,51.5,44.66666667,0,0,0,0,0,0,4,206,3,134,8192,237,3,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1854-8080-6,205.174.165.73,8080,192.168.10.9,1854,6,7/7/2017 10:05,95,1,1,6,6,6,6,6,0,6,6,6,0,126315.7895,21052.63158,95,0,95,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,10526.31579,10526.31579,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1857-8080-6,192.168.10.9,1857,205.174.165.73,8080,6,7/7/2017 10:05,82746,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,4108.95995,84.59623426,13791,32736.7976,80611,57,82746,27582,47215.58547,82101,57,81255,40627.5,56545.20797,80611,644,0,0,0,0,92,72,48.34070529,36.25552897,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,0,48.57142857,51.5,44.66666667,0,0,0,0,0,0,4,206,3,134,8192,237,3,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1857-8080-6,205.174.165.73,8080,192.168.10.9,1857,6,7/7/2017 10:05,94,1,1,6,6,6,6,6,0,6,6,6,0,127659.5745,21276.59574,94,0,94,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,10638.29787,10638.29787,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1858-8080-6,192.168.10.9,1858,205.174.165.73,8080,6,7/7/2017 10:05,80984,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,4198.36017,86.43682703,13497.33333,32102.2667,79023,49,80984,26994.66667,46232.02055,80378,49,79665,39832.5,55423.73662,79023,642,0,0,0,0,92,72,49.39247259,37.04435444,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,0,48.57142857,51.5,44.66666667,0,0,0,0,0,0,4,206,3,134,8192,237,3,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1858-8080-6,205.174.165.73,8080,192.168.10.9,1858,6,7/7/2017 10:05,90,1,1,6,6,6,6,6,0,6,6,6,0,133333.3333,22222.22222,90,0,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,11111.11111,11111.11111,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1859-8080-6,192.168.10.9,1859,205.174.165.73,8080,6,7/7/2017 10:05,79325,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,4286.164513,88.2445635,13220.83333,31279.07095,77065,40,79325,26441.66667,45142.27347,78566,40,77724,38862,54027.20072,77065,659,0,0,0,0,92,72,50.42546486,37.81909864,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,0,48.57142857,51.5,44.66666667,0,0,0,0,0,0,4,206,3,134,8192,237,3,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1859-8080-6,205.174.165.73,8080,192.168.10.9,1859,6,7/7/2017 10:05,36,1,1,6,6,6,6,6,0,6,6,6,0,333333.3333,55555.55556,36,0,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,27777.77778,27777.77778,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1860-8080-6,192.168.10.9,1860,205.174.165.73,8080,6,7/7/2017 10:06,73364,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,4634.425604,95.41464478,12227.33333,28822.97472,71058,96,73364,24454.66667,41687.43716,72590,96,71797,35898.5,49723.04175,71058,739,0,0,0,0,92,72,54.52265416,40.89199062,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,0,48.57142857,51.5,44.66666667,0,0,0,0,0,0,4,206,3,134,8192,237,3,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1860-8080-6,205.174.165.73,8080,192.168.10.9,1860,6,7/7/2017 10:06,50,1,1,6,6,6,6,6,0,6,6,6,0,240000,40000,50,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20000,20000,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1861-8080-6,192.168.10.9,1861,205.174.165.73,8080,6,7/7/2017 10:06,93102,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,3651.908659,75.18635475,15517,36822.76251,90678,75,93102,31034,52856.25708,92065,75,91394,45697,63612.74025,90678,716,0,0,0,0,92,72,42.96363129,32.22272346,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,0,48.57142857,51.5,44.66666667,0,0,0,0,0,0,4,206,3,134,8192,237,3,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1861-8080-6,205.174.165.73,8080,192.168.10.9,1861,6,7/7/2017 10:06,90,1,1,6,6,6,6,6,0,6,6,6,0,133333.3333,22222.22222,90,0,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,11111.11111,11111.11111,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1991-8080-6,192.168.10.9,1991,205.174.165.73,8080,6,7/7/2017 10:06,74258,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,4578.631259,94.26593768,12376.33333,29204.45022,71985,46,74258,24752.66667,42255.67864,73544,46,72645,36322.5,50434.39117,71985,660,0,0,0,0,92,72,53.8662501,40.39968758,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,0,48.57142857,51.5,44.66666667,0,0,0,0,0,0,4,206,3,134,8192,237,3,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1991-8080-6,205.174.165.73,8080,192.168.10.9,1991,6,7/7/2017 10:06,29,1,1,6,6,6,6,6,0,6,6,6,0,413793.1034,68965.51724,29,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,34482.75862,34482.75862,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1993-8080-6,192.168.10.9,1993,205.174.165.73,8080,6,7/7/2017 10:06,80458,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,4225.807253,87.00191404,13409.66667,31668.80874,78049,70,80458,26819.33333,45728.05049,79620,70,78739,39369.5,54701.07349,78049,690,0,0,0,0,92,72,49.71537945,37.28653459,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,0,48.57142857,51.5,44.66666667,0,0,0,0,0,0,4,206,3,134,8192,237,3,20,0,0,0,0,0,0,0,0,Bot
192.168.10.9-205.174.165.73-1993-8080-6,205.174.165.73,8080,192.168.10.9,1993,6,7/7/2017 10:06,4,1,1,6,6,6,6,6,0,6,6,6,0,3000000,500000,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,250000,250000,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0,0,0,0,0,0,0,0,Bot
192.168.10.15-205.174.165.73-51930-8080-6,192.168.10.15,51930,205.174.165.73,8080,6,7/7/2017 10:06,70522,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,4835.370523,99.25980545,11753.66667,27628.19445,68143,55,70522,23507.33333,40128.0105,69842,55,68761,34380.5,47747.3854,68143,618,0,0,0,0,92,72,56.71988883,42.53991662,0,195,42.625,75.57576615,5711.696429,0,0,0,1,0,0,0,0,0,48.71428571,51.75,44.66666667,0,0,0,0,0,0,4,207,3,134,8192,237,3,20,0,0,0,0,0,0,0,0,Bot
192.168.10.15-205.174.165.73-51930-8080-6,205.174.165.73,8080,192.168.10.15,51930,6,7/7/2017 10:06,7,1,1,6,6,6,6,6,0,6,6,6,0,1714285.714,285714.2857,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,142857.1429,142857.1429,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0,0,0,0,0,0,0,0,Bot
192.168.10.15-205.174.165.73-51956-8080-6,192.168.10.15,51956,205.174.165.73,8080,6,7/7/2017 10:07,124786,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,2732.678345,56.09603641,20797.66667,49885.59796,122624,51,124786,41595.33333,71379.85646,124017,92,123236,61618,86275.51259,122624,612,0,0,0,0,92,72,32.05487795,24.04115846,0,195,42.625,75.57576615,5711.696429,0,0,0,1,0,0,0,0,0,48.71428571,51.75,44.66666667,0,0,0,0,0,0,4,207,3,134,8192,237,3,20,0,0,0,0,0,0,0,0,Bot
192.168.10.15-205.174.165.73-51956-8080-6,192.168.10.15,51956,205.174.165.73,8080,6,7/7/2017 10:07,0,1,1,6,6,6,6,6,0,6,6,6,0,Infinity,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,6,6,6,0,0,0,0,0,0,1,0,0,0,1,9,6,6,0,0,0,0,0,0,1,6,1,6,256,237,0,20,0,0,0,0,0,0,0,0,Bot
192.168.10.15-205.174.165.73-52040-8080-6,192.168.10.15,52040,205.174.165.73,8080,6,7/7/2017 10:07,98306,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,3468.760808,71.2062336,16384.33333,39068.29249,96129,48,98306,32768.66667,56141.23035,97594,48,96739,48369.5,67542.13263,96129,610,0,0,0,0,92,72,40.68927634,30.51695726,0,195,42.625,75.57576615,5711.696429,0,0,0,1,0,0,0,0,0,48.71428571,51.75,44.66666667,0,0,0,0,0,0,4,207,3,134,8192,237,3,20,0,0,0,0,0,0,0,0,Bot
192.168.10.15-205.174.165.73-52040-8080-6,205.174.165.73,8080,192.168.10.15,52040,6,7/7/2017 10:07,3,1,1,6,6,6,6,6,0,6,6,6,0,4000000,666666.6667,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,333333.3333,333333.3333,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0,0,0,0,0,0,0,0,Bot
192.168.10.15-205.174.165.73-52093-8080-6,192.168.10.15,52093,205.174.165.73,8080,6,7/7/2017 10:07,66276,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,5145.150582,105.6189269,11046,25014.61933,62096,95,66276,22092,36054.11992,63721,866,64533,32266.5,42185.28346,62096,2437,0,0,0,0,92,72,60.35367252,45.26525439,0,195,42.625,75.57576615,5711.696429,0,0,0,1,0,0,0,0,0,48.71428571,51.75,44.66666667,0,0,0,0,0,0,4,207,3,134,8192,237,3,20,0,0,0,0,0,0,0,0,Bot
192.168.10.15-205.174.165.73-52093-8080-6,205.174.165.73,8080,192.168.10.15,52093,6,7/7/2017 10:07,39,1,1,6,6,6,6,6,0,6,6,6,0,307692.3077,51282.05128,39,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,25641.02564,25641.02564,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0,0,0,0,0,0,0,0,Bot
192.168.10.15-205.174.165.73-52125-8080-6,192.168.10.15,52125,205.174.165.73,8080,6,7/7/2017 10:07,59248,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,5755.468539,118.147448,9874.666667,23206.99424,57241,48,59248,19749.33333,33710.5974,58674,48,57847,28923.5,40046.99255,57241,606,0,0,0,0,92,72,67.51282744,50.63462058,0,195,42.625,75.57576615,5711.696429,0,0,0,1,0,0,0,0,0,48.71428571,51.75,44.66666667,0,0,0,0,0,0,4,207,3,134,8192,237,3,20,0,0,0,0,0,0,0,0,Bot
192.168.10.15-205.174.165.73-52125-8080-6,192.168.10.15,52125,205.174.165.73,8080,6,7/7/2017 10:07,2,1,1,6,6,6,6,6,0,6,6,6,0,6000000,1000000,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,500000,500000,6,6,6,0,0,0,0,0,0,1,0,0,0,1,9,6,6,0,0,0,0,0,0,1,6,1,6,256,237,0,20,0,0,0,0,0,0,0,0,Bot
192.168.10.15-205.174.165.73-52134-8080-6,192.168.10.15,52134,205.174.165.73,8080,6,7/7/2017 10:07,61529,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,5542.102098,113.7674918,10254.83333,24150.10996,59547,45,61529,20509.66667,34980.76479,60901,71,60143,30071.5,41684.65186,59547,596,0,0,0,0,92,72,65.00999529,48.75749647,0,195,42.625,75.57576615,5711.696429,0,0,0,1,0,0,0,0,0,48.71428571,51.75,44.66666667,0,0,0,0,0,0,4,207,3,134,8192,237,3,20,0,0,0,0,0,0,0,0,Bot
192.168.10.15-205.174.165.73-52134-8080-6,192.168.10.15,52134,205.174.165.73,8080,6,7/7/2017 10:07,1,1,1,6,6,6,6,6,0,6,6,6,0,1.20E+07,2000000,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1000000,1000000,6,6,6,0,0,0,0,0,0,1,0,0,0,1,9,6,6,0,0,0,0,0,0,1,6,1,6,256,237,0,20,0,0,0,0,0,0,0,0,Bot
