Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.16.0.1-192.168.10.50-44380-80-6,172.16.0.1,44380,192.168.10.50,80,6,6/7/2017 9:15,5185118,7,7,1022,2321,372,0,146,184.0787875,1047,0,331.5714286,439.6592837,644.7297824,2.700034985,398855.2308,1372180.71,4963956,4,221162,36860.33333,56141.02125,141434,4,5185004,864167.3333,2027593.314,5001548,879,0,0,0,0,232,232,1.350017492,1.350017492,0,1047,222.8666667,331.3239387,109775.5524,0,0,0,1,0,0,0,0,1,238.7857143,146,331.5714286,0,0,0,0,0,0,7,1022,7,2321,29200,252,3,32,0,0,0,0,0,0,0,0,Web Attack – Brute Force
172.16.0.1-192.168.10.50-44382-80-6,172.16.0.1,44382,192.168.10.50,80,6,6/7/2017 9:15,5057374,10,7,736,9880,395,0,73.6,155.6835822,4344,0,1411.428571,1639.91543,2099.113097,3.361428283,316085.875,1239255.101,4963124,36,5057374,561930.4444,1650529.188,4963124,192,56185,9364.166667,10567.11844,21624,36,0,0,0,0,328,232,1.977310755,1.384117528,0,4344,589.7777778,1190.454068,1417180.889,0,0,0,1,0,0,0,0,0,624.4705882,73.6,1411.428571,0,0,0,0,0,0,10,736,7,9880,29200,243,2,32,0,0,0,0,0,0,0,0,Web Attack – Brute Force
172.16.0.1-192.168.10.50-44380-80-6,172.16.0.1,44380,192.168.10.50,80,6,6/7/2017 9:16,81,1,1,0,0,0,0,0,0,0,0,0,0,0,24691.35802,81,0,81,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,12345.67901,12345.67901,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,270,252,0,32,0,0,0,0,0,0,0,0,Web Attack – Brute Force
172.16.0.1-192.168.10.50-44384-80-6,172.16.0.1,44384,192.168.10.50,80,6,6/7/2017 9:16,5271123,7,5,969,1430,561,0,138.4285714,240.5021532,1066,0,286,463.646417,455.1212332,2.27655473,479193,1488840.005,4961916,46,5271123,878520.5,2003102.755,4961916,323,270207,67551.75,131604.8651,264957,1034,0,0,0,0,232,168,1.327990259,0.948564471,0,1066,184.5384615,330.0668153,108944.1026,0,0,0,1,0,0,0,0,0,199.9166667,138.4285714,286,0,0,0,0,0,0,7,969,5,1430,29200,244,2,32,0,0,0,0,0,0,0,0,Web Attack – Brute Force
172.16.0.1-192.168.10.50-44386-80-6,172.16.0.1,44386,192.168.10.50,80,6,6/7/2017 9:16,5020638,7,4,973,1430,565,0,139,241.6754021,1066,0,357.5,502.5359025,478.6244298,2.190956608,502063.8,1567338.192,4962654,18,5020638,836773,2021330.139,4962654,18,18708,6236,5195.494587,11318,934,0,0,0,0,232,136,1.394245114,0.796711494,0,1066,200.25,340.2325742,115758.2045,0,0,0,1,0,0,0,0,0,218.4545455,139,357.5,0,0,0,0,0,0,7,973,4,1430,29200,244,2,32,0,0,0,0,0,0,0,0,Web Attack – Brute Force
172.16.0.1-192.168.10.50-44388-80-6,172.16.0.1,44388,192.168.10.50,80,6,6/7/2017 9:18,1629049,12,8,2145,10218,566,0,178.75,225.8890013,5330,0,1277.25,1966.095532,7589.090322,12.27710155,85739.42105,333916.5926,1463559,59,1629049,148095.3636,437028.5918,1463559,195,157606,22515.14286,18549.7935,52274,1610,0,0,0,0,392,264,7.366260929,4.910840619,0,5330,588.7142857,1299.540116,1688804.514,0,0,0,1,0,0,0,0,0,618.15,178.75,1277.25,0,0,0,0,0,0,12,2145,8,10218,29200,262,5,32,0,0,0,0,0,0,0,0,Web Attack – Brute Force
172.16.0.1-192.168.10.50-44390-80-6,172.16.0.1,44390,192.168.10.50,80,6,6/7/2017 9:18,5088371,4,4,358,763,358,0,89.5,179,763,0,190.75,381.5,220.306263,1.572212404,726910.1429,1885618.448,5002505,4,85866,28622,48725.89401,84883,4,5088295,1696098.333,2864350.285,5003217,980,0,0,0,0,136,136,0.786106202,0.786106202,0,763,124.5555556,267.0922645,71338.27778,0,0,0,1,0,0,0,0,1,140.125,89.5,190.75,0,0,0,0,0,0,4,358,4,763,29200,235,1,32,0,0,0,0,0,0,0,0,Web Attack – Brute Force
172.16.0.1-192.168.10.50-44392-80-6,172.16.0.1,44392,192.168.10.50,80,6,6/7/2017 9:18,21405204,28,19,5927,19891,561,0,211.6785714,219.408473,2896,0,1046.894737,961.5663665,1206.155288,2.195727731,465330.5217,1188382.211,4962947,40,2.14E+07,792785.3333,1474704.318,4962947,705,1.64E+07,911302.8889,1427512.635,4475937,61,0,0,0,0,904,616,1.308093116,0.887634614,0,2896,537.875,745.6869637,556049.0479,0,0,0,1,0,0,0,0,0,549.3191489,211.6785714,1046.894737,0,0,0,0,0,0,28,5927,19,19891,29200,348,14,32,0,0,0,0,0,0,0,0,Web Attack – Brute Force
172.16.0.1-192.168.10.50-44390-80-6,172.16.0.1,44390,192.168.10.50,80,6,6/7/2017 9:18,66,1,1,0,0,0,0,0,0,0,0,0,0,0,30303.0303,66,0,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,15151.51515,15151.51515,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,241,235,0,32,0,0,0,0,0,0,0,0,Web Attack – Brute Force
172.16.0.1-192.168.10.50-44466-80-6,172.16.0.1,44466,192.168.10.50,80,6,6/7/2017 9:19,4050296,3,1,0,0,0,0,0,0,0,0,0,0,0,0.987582142,1350098.667,2337892.169,4049664,91,4050296,2025148,2863097.984,4049664,632,0,0,0,0,0,0,0,0,0,104,40,0.740686607,0.246895536,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0,0,0,0,0,0,0,0,Web Attack – Brute Force
172.16.0.1-192.168.10.50-44464-80-6,172.16.0.1,44464,192.168.10.50,80,6,6/7/2017 9:19,4139304,27,16,4801,17044,602,0,177.8148148,212.617576,7926,0,1065.25,1882.116521,5277.457273,10.38821986,98554.85714,330294.1359,1960112,103,4139304,159204,410994.217,1960112,250,3482404,232160.2667,527514.9539,2002030,151,0,0,0,0,872,520,6.522835723,3.865384132,0,7926,496.4772727,1205.366537,1452908.488,0,0,0,1,0,0,0,0,0,508.0232558,177.8148148,1065.25,0,0,0,0,0,0,27,4801,16,17044,29200,333,12,32,0,0,0,0,0,0,0,0,Web Attack – Brute Force
