Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.10.12-192.168.10.50-50454-22-6,192.168.10.12,50454,192.168.10.50,22,6,5/7/2017 8:44,2941634,47,46,2664,6954,456,0,56.68085106,104.7674664,976,0,151.173913,307.3801341,3269.611379,31.61508196,31974.28261,175352.7853,1381194,1,2941634,63948.56522,249256.0745,1381194,1,1981577,44035.04444,211390.3154,1402940,1,0,0,0,0,1520,1488,15.97751454,15.63756742,0,976,102.3191489,231.2838508,53492.21963,0,0,0,1,0,0,0,0,0,103.4193548,56.68085106,151.173913,0,0,0,0,0,0,47,2664,46,6954,29200,243,24,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.12-192.168.10.50-50454-22-6,192.168.10.12,50454,192.168.10.50,22,6,5/7/2017 8:44,151,1,1,0,0,0,0,0,0,0,0,0,0,0,13245.03311,151,0,151,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,6622.516556,6622.516556,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,290,243,0,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.12-192.168.10.50-50458-22-6,192.168.10.12,50458,192.168.10.50,22,6,5/7/2017 8:44,281683,35,34,2488,6562,456,0,71.08571429,118.2145038,976,0,193,346.1553338,32128.31445,244.9562096,4142.397059,13527.23447,91743,0,281683,8284.794118,30375.29809,176271,1,278796,8448.363636,19005.97108,91743,1,0,0,0,0,1136,1104,124.2531498,120.7030598,0,976,129.2857143,261.0626635,68153.71429,0,0,0,1,0,0,0,0,0,131.1594203,71.08571429,193,0,0,0,0,0,0,35,2488,34,6562,29200,243,20,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.12-192.168.10.50-50458-22-6,192.168.10.12,50458,192.168.10.50,22,6,5/7/2017 8:44,50,1,1,0,0,0,0,0,0,0,0,0,0,0,40000,50,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,20000,20000,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,290,243,0,32,0,0,0,0,0,0,0,0,BENIGN
131.253.61.66-192.168.10.14-443-49475-6,192.168.10.14,49475,131.253.61.66,443,6,5/7/2017 8:44,235912,13,15,5785,16832,3441,0,445,986.2071283,2920,2,1122.133333,912.2924709,95870.49408,118.6883245,8737.481481,17275.63302,49854,19,235805,19650.41667,27297.17463,73814,51,190098,13578.42857,22655.5343,64375,48,0,0,0,0,272,308,55.1052935,63.58303096,0,3441,779.8965517,984.6372191,969510.4532,0,0,0,1,0,0,0,0,1,807.75,445,1122.133333,0,0,0,0,0,0,13,5785,15,16832,8192,64240,12,20,0,0,0,0,0,0,0,0,BENIGN
131.253.61.66-192.168.10.14-443-49475-6,192.168.10.14,49475,131.253.61.66,443,6,5/7/2017 8:44,3,2,0,91,0,85,6,45.5,55.86143571,0,0,0,0,3.03E+07,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,1,0,0,0,40,0,666666.6667,0,6,85,58.66666667,45.61067127,2080.333333,0,1,0,0,1,0,0,0,0,88,45.5,0,0,0,0,0,0,0,2,91,0,0,64240,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
134.170.51.247-192.168.10.14-443-49477-6,192.168.10.14,49477,134.170.51.247,443,6,5/7/2017 8:44,234211,9,7,1489,5819,581,0,165.4444444,228.0033504,1957,0,831.2857143,811.84188,31202.63352,68.31446858,15614.06667,22378.20065,53094,3,234211,29276.375,25353.3964,55541,3,169276,28212.66667,28822.05108,59757,48,0,0,0,0,192,152,38.42688857,29.88758,0,1957,429.8823529,628.113533,394526.6103,0,0,0,1,0,0,0,0,0,456.75,165.4444444,831.2857143,0,0,0,0,0,0,9,1489,7,5819,8192,251,8,20,0,0,0,0,0,0,0,0,BENIGN
172.16.0.1-192.168.10.50-53544-80-6,172.16.0.1,53544,192.168.10.50,80,6,5/7/2017 9:48,527648,4,2,231,0,231,0,57.75,115.5,0,0,0,0,437.7918612,11.37121718,105529.6,235561.6505,526915,50,527648,175882.6667,304057.5148,526978,185,683,683,0,683,683,0,0,0,0,136,72,7.58081145,3.790405725,0,231,33,87.30979327,7623,0,0,0,1,0,0,0,0,0,38.5,57.75,0,0,0,0,0,0,0,4,231,2,0,29200,235,1,32,0,0,0,0,0,0,0,0,DoS slowloris
172.16.0.1-192.168.10.50-53546-80-6,172.16.0.1,53546,192.168.10.50,80,6,5/7/2017 9:48,527621,4,2,231,0,231,0,57.75,115.5,0,0,0,0,437.8142644,11.37179908,105524.2,235555.1747,526898,8,527621,175873.6667,304078.2984,526993,166,715,715,0,715,715,0,0,0,0,136,72,7.581199384,3.790599692,0,231,33,87.30979327,7623,0,0,0,1,0,0,0,0,0,38.5,57.75,0,0,0,0,0,0,0,4,231,2,0,29200,235,1,32,0,0,0,0,0,0,0,0,DoS slowloris
172.16.0.1-192.168.10.50-53542-80-6,172.16.0.1,53542,192.168.10.50,80,6,5/7/2017 9:48,528658,4,2,231,0,231,0,57.75,115.5,0,0,0,0,436.9554608,11.34949249,105731.6,235916.6722,527752,9,528658,176219.3333,304444.0401,527761,322,862,862,0,862,862,0,0,0,0,136,72,7.566328326,3.783164163,0,231,33,87.30979327,7623,0,0,0,1,0,0,0,0,0,38.5,57.75,0,0,0,0,0,0,0,4,231,2,0,29200,235,1,32,0,0,0,0,0,0,0,0,DoS slowloris
