Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.10.3-192.168.10.14-389-49430-6,192.168.10.14,49430,192.168.10.3,389,6,04/07/2017 8:57,816083,15,12,4104,1020,1660,0,273.6,567.8187337,210,0,85,91.22200691,6278.773115,33.08487004,31387.80769,147800.2019,753773,1,816083,58291.64286,200803.7333,753773,1,816035,74185,245229.1828,813578,3,0,0,0,0,324,264,18.38048336,14.70438669,0,1660,183,425.0164267,180638.963,0,0,0,1,0,0,0,0,0,189.7777778,273.6,85,0,0,0,0,0,0,15,4104,12,1020,8192,0,8,20,0,0,0,0,0,0,0,0,No Label
131.253.61.82-192.168.10.14-80-49433-6,192.168.10.14,49433,131.253.61.82,80,6,04/07/2017 8:57,95829,3,2,302,511,302,0,100.6666667,174.3597813,511,0,255.5,361.3315652,8483.861879,52.17627232,23957.25,27626.17355,49552,56,46277,23138.5,32625.19978,46208,69,49677,49677,0,49677,49677,0,0,0,0,72,52,31.30576339,20.87050893,0,511,135.5,220.0743056,48432.7,0,0,0,1,0,0,0,0,0,162.6,100.6666667,255.5,0,0,0,0,0,0,3,302,2,511,8192,256,1,20,0,0,0,0,0,0,0,0,No Label
131.253.61.82-192.168.10.14-80-49433-6,192.168.10.14,49433,131.253.61.82,80,6,04/07/2017 8:57,16,2,0,0,0,0,0,0,0,0,0,0,0,0,125000,16,0,16,16,16,16,0,16,16,0,0,0,0,0,0,0,0,0,40,0,125000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,254,-1,0,20,0,0,0,0,0,0,0,0,No Label
192.168.10.3-192.168.10.14-389-49428-6,192.168.10.14,49428,192.168.10.3,389,6,04/07/2017 8:57,8599138,23,15,5706,9232,1660,0,248.0869565,482.4753327,2634,0,615.4666667,782.7480772,1737.150863,4.419047584,232409.1351,988711.8659,5559493,0,8599138,390869.9091,1269221.182,5559493,1,8599067,614219.0714,1583271.596,5616561,2,0,0,0,0,484,324,2.674686695,1.744360888,0,2634,383.025641,629.8469525,396707.1835,0,0,0,1,0,0,0,0,0,393.1052632,248.0869565,615.4666667,0,0,0,0,0,0,23,5706,15,9232,8192,0,10,20,3039547,0,3039547,3039547,5559493,0,5559493,5559493,No Label
192.168.10.3-192.168.10.9-135-1028-6,192.168.10.9,1028,192.168.10.3,135,6,04/07/2017 8:57,26241793,11,6,656,752,168,0,59.63636364,82.78076193,268,0,125.3333333,120.6029298,53.65487031,0.647821587,1640112.063,6505873.822,2.60E+07,3,2.62E+07,2624179.3,8226463.495,2.60E+07,3,1048,209.6,308.6451036,695,3,0,0,0,0,244,144,0.419178674,0.228642913,0,268,78.22222222,98.36519922,9675.712418,0,0,0,1,0,0,0,0,0,82.82352941,59.63636364,125.3333333,0,0,0,0,0,0,11,656,6,752,8192,2052,4,20,0,0,0,0,0,0,0,0,No Label
192.168.10.3-192.168.10.9-49671-1029-6,192.168.10.9,1029,192.168.10.3,49671,6,04/07/2017 8:57,26240384,21,14,3678,2672,936,0,175.1428571,269.4893849,952,0,190.8571429,324.9593719,241.9934099,1.333821944,771776,4274063.86,2.49E+07,1,2.62E+07,1312019.2,5566136.747,2.49E+07,1,1084754,83442.61538,300277.4055,1082826,3,0,0,0,0,444,304,0.800293166,0.533528778,0,952,176.3888889,285.8245494,81695.67302,0,0,0,1,0,0,0,0,0,181.4285714,175.1428571,190.8571429,0,0,0,0,0,0,21,3678,14,2672,8192,2053,12,20,0,0,0,0,0,0,0,0,No Label
192.168.10.3-192.168.10.9-135-1028-6,192.168.10.9,1028,192.168.10.3,135,6,04/07/2017 8:57,35,1,1,0,0,0,0,0,0,0,0,0,0,0,57142.85714,35,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,28571.42857,28571.42857,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,255,2052,0,20,0,0,0,0,0,0,0,0,No Label
192.168.10.3-192.168.10.9-49671-1029-6,192.168.10.9,1029,192.168.10.3,49671,6,04/07/2017 8:57,50,1,2,0,0,0,0,0,0,0,0,0,0,0,60000,25,31.11269837,47,3,0,0,0,0,0,3,3,0,3,3,0,0,0,0,20,40,20000,40000,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,251,2053,0,20,0,0,0,0,0,0,0,0,No Label
192.168.10.3-192.168.10.9-49671-1029-6,192.168.10.3,49671,192.168.10.9,1029,6,04/07/2017 8:57,0,2,0,0,0,0,0,0,0,0,0,0,0,NaN,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2053,-1,0,20,0,0,0,0,0,0,0,0,No Label
192.168.10.3-192.168.10.14-88-49437-6,192.168.10.14,49437,192.168.10.3,88,6,04/07/2017 8:57,676,7,4,468,444,234,0,66.85714286,114.1803085,222,0,111,128.1717598,1349112.426,16272.18935,67.6,128.934264,418,1,676,112.6666667,213.6236566,544,1,500,166.6666667,283.4789822,494,3,0,0,0,0,164,104,10355.02959,5917.159763,0,234,76,112.3177311,12615.27273,0,0,0,1,0,0,0,0,0,82.90909091,66.85714286,111,0,0,0,0,0,0,7,468,4,444,8192,2053,2,20,0,0,0,0,0,0,0,0,No Label
